coefrange , typeinstance , nbvar , t1 , t2
1000 , 1 , 50 , 0.000338473 , 0.000604682
1000 , 1 , 50 , 0.000165358 , 0.000283404
1000 , 1 , 50 , 0.000141466 , 0.00025749
1000 , 1 , 50 , 0.000203272 , 0.000428889
1000 , 1 , 50 , 0.000160951 , 0.00028667
1000 , 1 , 100 , 0.000362334 , 0.000766291
1000 , 1 , 100 , 0.000290875 , 0.000600125
1000 , 1 , 100 , 0.000276381 , 0.000521408
1000 , 1 , 100 , 0.000202 , 0.000358055
1000 , 1 , 100 , 0.000248546 , 0.000508174
1000 , 1 , 200 , 0.000617622 , 0.001346647
1000 , 1 , 200 , 0.000690117 , 0.001262481
1000 , 1 , 200 , 0.000865942 , 0.001606088
1000 , 1 , 200 , 0.000956414 , 0.00118294
1000 , 1 , 200 , 0.001717194 , 0.003887146
1000 , 2 , 50 , 0.000187475 , 0.000397777
1000 , 2 , 50 , 0.000122592 , 0.000239703
1000 , 2 , 50 , 0.000382205 , 0.000994425
1000 , 2 , 50 , 0.000523041 , 0.001269637
1000 , 2 , 50 , 4.4863e-5 , 9.1073e-5
1000 , 2 , 100 , 0.000997171 , 0.0026793
1000 , 2 , 100 , 9.6754e-5 , 0.000194067
1000 , 2 , 100 , 0.000313822 , 0.00070495
1000 , 2 , 100 , 0.000125337 , 0.000240562
1000 , 2 , 100 , 0.000806872 , 0.002024102
1000 , 2 , 200 , 0.003098118 , 0.00757456
1000 , 2 , 200 , 0.001090301 , 0.002381987
1000 , 2 , 200 , 0.000353088 , 0.000604697
1000 , 2 , 200 , 0.001364919 , 0.003153758
1000 , 2 , 200 , 0.000368981 , 0.000743975
1000 , 3 , 50 , 0.000738443 , 0.001794169
1000 , 3 , 50 , 0.000219516 , 0.000438627
1000 , 3 , 50 , 0.003012701 , 0.009801672
1000 , 3 , 50 , 0.001026516 , 0.002624308
1000 , 3 , 50 , 0.000158663 , 0.000422159
1000 , 3 , 100 , 0.00042459 , 0.00101413
1000 , 3 , 100 , 0.019902849 , 0.052633294
1000 , 3 , 100 , 0.000403132 , 0.000902782
1000 , 3 , 100 , 0.002735854 , 0.007587847
1000 , 3 , 100 , 0.006061472 , 0.017490171
1000 , 3 , 200 , 0.042892233 , 0.120473536
1000 , 3 , 200 , 1.27024745 , 3.606828348
1000 , 3 , 200 , 0.055267937 , 0.149798654
1000 , 3 , 200 , 0.038232258 , 0.110350472
1000 , 3 , 200 , 0.225750332 , 0.610169233
1000 , 4 , 50 , 6.3131e-5 , 9.9089e-5
1000 , 4 , 50 , 3.7095e-5 , 7.7571e-5
1000 , 4 , 50 , 3.1947e-5 , 7.5467e-5
1000 , 4 , 50 , 3.1389e-5 , 7.5618e-5
1000 , 4 , 50 , 0.000262504 , 0.000660426
1000 , 4 , 100 , 8.2198e-5 , 0.000159935
1000 , 4 , 100 , 0.001380464 , 0.003823445
1000 , 4 , 100 , 0.000838106 , 0.002189443
1000 , 4 , 100 , 0.012331045 , 0.026989636
1000 , 4 , 100 , 0.001898804 , 0.004626078
1000 , 4 , 200 , 0.004935636 , 0.013899463
1000 , 4 , 200 , 0.088277266 , 0.23262432
1000 , 4 , 200 , 0.752735357 , 1.970251433
1000 , 4 , 200 , 1.914765044 , 4.516365512
1000 , 4 , 200 , 3.119171632 , 7.81137709
1000 , 5 , 50 , 0.004103016 , 0.0057239
1000 , 5 , 50 , 0.001628093 , 0.004107411
1000 , 5 , 50 , 0.000106203 , 0.000189715
1000 , 5 , 50 , 0.000637626 , 0.001457881
1000 , 5 , 50 , 0.000143266 , 0.000315566
1000 , 5 , 100 , 0.00101901 , 0.002574626
1000 , 5 , 100 , 0.000379803 , 0.000877082
1000 , 5 , 100 , 0.00493756 , 0.0155255
1000 , 5 , 100 , 0.071548108 , 0.19664159
1000 , 5 , 100 , 0.002265856 , 0.008184542
1000 , 5 , 200 , 0.000791518 , 0.001992736
1000 , 5 , 200 , 0.068918637 , 0.190787489
1000 , 5 , 200 , 0.009649175 , 0.027952053
1000 , 5 , 200 , 0.796174297 , 2.19361494
1000 , 5 , 200 , 2.649047968 , 7.30619389
1000 , 6 , 50 , 0.002141437 , 0.005208088
1000 , 6 , 50 , 0.001091736 , 0.002923208
1000 , 6 , 50 , 0.000125143 , 0.00029933
1000 , 6 , 50 , 0.000607688 , 0.001567989
1000 , 6 , 50 , 0.000214868 , 0.000508371
1000 , 6 , 100 , 0.001572023 , 0.00402973
1000 , 6 , 100 , 0.000583781 , 0.001443432
1000 , 6 , 100 , 0.000775428 , 0.001970869
1000 , 6 , 100 , 0.001083826 , 0.00303523
1000 , 6 , 100 , 0.00012761 , 0.000306127
1000 , 6 , 200 , 0.002243497 , 0.006302568
1000 , 6 , 200 , 0.001728282 , 0.004498648
1000 , 6 , 200 , 0.001323814 , 0.003629526
1000 , 6 , 200 , 0.000182085 , 0.000358355
1000 , 6 , 200 , 0.000563168 , 0.001475669
10000 , 1 , 50 , 9.0049e-5 , 0.000143493
10000 , 1 , 50 , 8.6817e-5 , 0.00017452
10000 , 1 , 50 , 9.5123e-5 , 0.00017403
10000 , 1 , 50 , 5.7159e-5 , 0.00010951
10000 , 1 , 50 , 0.000137186 , 0.000282466
10000 , 1 , 100 , 0.000201871 , 0.000363313
10000 , 1 , 100 , 0.000141991 , 0.000263929
10000 , 1 , 100 , 0.000184536 , 0.000370646
10000 , 1 , 100 , 0.000139782 , 0.000248239
10000 , 1 , 100 , 0.00043565 , 0.000778113
10000 , 1 , 200 , 0.003494245 , 0.00192168
10000 , 1 , 200 , 0.000526382 , 0.001283299
10000 , 1 , 200 , 0.00055148 , 0.000916648
10000 , 1 , 200 , 0.000539518 , 0.000919455
10000 , 1 , 200 , 0.000604624 , 0.000814523
10000 , 2 , 50 , 0.000295971 , 0.000703329
10000 , 2 , 50 , 0.000167209 , 0.000357609
10000 , 2 , 50 , 0.000212568 , 0.000463108
10000 , 2 , 50 , 0.000118843 , 0.000268899
10000 , 2 , 50 , 0.000208668 , 0.000475182
10000 , 2 , 100 , 0.000106562 , 0.000189749
10000 , 2 , 100 , 0.000383333 , 0.000917249
10000 , 2 , 100 , 0.000443519 , 0.001004465
10000 , 2 , 100 , 0.000510948 , 0.001224196
10000 , 2 , 100 , 0.000153027 , 0.000283495
10000 , 2 , 200 , 0.00071928 , 0.001781314
10000 , 2 , 200 , 0.001693198 , 0.006445929
10000 , 2 , 200 , 0.000791374 , 0.001801089
10000 , 2 , 200 , 0.001258452 , 0.002657547
10000 , 2 , 200 , 0.001546171 , 0.003596584
10000 , 3 , 50 , 0.000172609 , 0.000371147
10000 , 3 , 50 , 6.2647e-5 , 0.000118969
10000 , 3 , 50 , 0.001902504 , 0.007099658
10000 , 3 , 50 , 0.000212088 , 0.000493929
10000 , 3 , 50 , 8.2792e-5 , 0.000137106
10000 , 3 , 100 , 0.00420971 , 0.010833129
10000 , 3 , 100 , 0.044968799 , 0.120994933
10000 , 3 , 100 , 0.027024072 , 0.076282556
10000 , 3 , 100 , 0.001405989 , 0.00363329
10000 , 3 , 100 , 0.0068649 , 0.0188323
10000 , 3 , 200 , 0.052031228 , 0.142916633
10000 , 3 , 200 , 6.682963351 , 18.758751062
10000 , 3 , 200 , 2.829006879 , 7.787195906
10000 , 3 , 200 , 0.00338619 , 0.011212206
10000 , 3 , 200 , 0.089322643 , 0.224731776
10000 , 4 , 50 , 6.0891e-5 , 0.000102799
10000 , 4 , 50 , 4.4963e-5 , 0.000126674
10000 , 4 , 50 , 6.7086e-5 , 0.000132474
10000 , 4 , 50 , 0.000502842 , 0.001258081
10000 , 4 , 50 , 0.000385226 , 0.001135277
10000 , 4 , 100 , 0.00016766 , 0.000367197
10000 , 4 , 100 , 0.002940479 , 0.007652749
10000 , 4 , 100 , 0.001494138 , 0.0039005
10000 , 4 , 100 , 0.016326513 , 0.03261895
10000 , 4 , 100 , 0.001822488 , 0.004476713
10000 , 4 , 200 , 0.019827901 , 0.026909277
10000 , 4 , 200 , 0.107695166 , 0.256517904
10000 , 4 , 200 , 0.764332865 , 1.809436737
10000 , 4 , 200 , 1.297387044 , 3.253268524
10000 , 4 , 200 , 3.463694007 , 8.445278929
10000 , 5 , 50 , 0.000171752 , 0.000324476
10000 , 5 , 50 , 0.000132178 , 0.000311202
10000 , 5 , 50 , 8.1719e-5 , 0.00013667
10000 , 5 , 50 , 0.002827087 , 0.007499913
10000 , 5 , 50 , 0.000929208 , 0.002354792
10000 , 5 , 100 , 0.000547311 , 0.001307645
10000 , 5 , 100 , 0.000680721 , 0.001773963
10000 , 5 , 100 , 0.007496296 , 0.020136496
10000 , 5 , 100 , 0.06205291 , 0.168108126
10000 , 5 , 100 , 0.210615466 , 0.626324805
10000 , 5 , 200 , 0.085922119 , 0.236888894
10000 , 5 , 200 , 0.021406153 , 0.063668763
10000 , 5 , 200 , 0.432870436 , 1.212231215
10000 , 5 , 200 , 0.079823112 , 0.219453723
10000 , 5 , 200 , 0.020916494 , 0.038344255
10000 , 6 , 50 , 0.004986286 , 0.01124646
10000 , 6 , 50 , 0.00353962 , 0.011571719
10000 , 6 , 50 , 0.00738779 , 0.017183864
10000 , 6 , 50 , 0.006844871 , 0.016291557
10000 , 6 , 50 , 0.01949414 , 0.038614506
10000 , 6 , 100 , 0.037158507 , 0.082301569
10000 , 6 , 100 , 0.001586057 , 0.004086926
10000 , 6 , 100 , 0.002610953 , 0.006708322
10000 , 6 , 100 , 0.002120837 , 0.005613698
10000 , 6 , 100 , 0.012406775 , 0.034869499
10000 , 6 , 200 , 0.027529068 , 0.069863324
10000 , 6 , 200 , 0.028553381 , 0.068639223
10000 , 6 , 200 , 0.002351593 , 0.006562167
10000 , 6 , 200 , 0.002033009 , 0.005256999
10000 , 6 , 200 , 0.003971062 , 0.010722599
